Ticker,Company,Industry
AFL,Aflac,Financials
ALL,Allstate,Financials
AXP,American Express,Financials
AIG,American International Group,Financials
AMP,Ameriprise Financial,Financials
AON,Aon,Financials
ACGL,Arch Capital Group,Financials
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant,Financials
BAC,Bank of America,Financials
BRK.B,Berkshire Hathaway,Financials
BLK,BlackRock,Financials
BX,Blackstone Inc.,Financials
BK,BNY Mellon,Financials
BRO,Brown & Brown,Financials
COF,Capital One,Financials
CBOE,Cboe Global Markets,Financials
SCHW,Charles Schwab Corporation,Financials
CB,Chubb Limited,Financials
CINF,Cincinnati Financial,Financials
C,Citigroup,Financials
CFG,Citizens Financial Group,Financials
CME,CME Group,Financials
CPAY,Corpay,Financials
DFS,Discover Financial,Financials
ERIE,Erie Indemnity,Financials
EG,Everest Group,Financials
FDS,FactSet,Financials
FIS,Fidelity National Information Services,Financials
FITB,Fifth Third Bancorp,Financials
FI,Fiserv,Financials
BEN,Franklin Resources,Financials
GPN,Global Payments,Financials
GL,Globe Life,Financials
GS,Goldman Sachs,Financials
HIG,Hartford (The),Financials
HBAN,Huntington Bancshares,Financials
ICE,Intercontinental Exchange,Financials
IVZ,Invesco,Financials
JKHY,Jack Henry & Associates,Financials
JPM,JPMorgan Chase,Financials
KEY,KeyCorp,Financials
KKR,KKR,Financials
L,Loews Corporation,Financials
MTB,M&T Bank,Financials
MKTX,MarketAxess,Financials
MMC,Marsh McLennan,Financials
MA,Mastercard,Financials
MET,MetLife,Financials
MCO,Moody's Corporation,Financials
MS,Morgan Stanley,Financials
MSCI,MSCI,Financials
NDAQ,"Nasdaq, Inc.",Financials
NTRS,Northern Trust,Financials
PYPL,PayPal,Financials
PNC,PNC Financial Services,Financials
PFG,Principal Financial Group,Financials
PGR,Progressive Corporation,Financials
PRU,Prudential Financial,Financials
RJF,Raymond James Financial,Financials
RF,Regions Financial Corporation,Financials
SPGI,S&P Global,Financials
STT,State Street Corporation,Financials
SYF,Synchrony Financial,Financials
TROW,T. Rowe Price,Financials
TRV,Travelers Companies (The),Financials
TFC,Truist Financial,Financials
USB,U.S. Bancorp,Financials
V,Visa Inc.,Financials
WRB,W. R. Berkley Corporation,Financials
WFC,Wells Fargo,Financials
WTW,Willis Towers Watson,Financials
